Episode,Reward
0,-1
1,0.5
2,-1
3,-1
4,-1
5,2.375
6,-1
7,0.5
8,-1
9,3.5
10,-1
11,2.642857142857143
12,-1
13,0.16666666666666674
14,-1
15,1
16,-1
17,-1
18,2.583333333333333
19,-1
20,0.16666666666666674
21,1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,0.11111111111111116
29,-1
30,-1
31,0.25
32,0.5
33,3.111111111111111
34,0.5
35,-1
36,-1
37,-1
38,0.33333333333333326
39,-1
40,0.08333333333333326
41,-1
42,-1
43,1.0
44,-1
45,0.33333333333333326
46,-1
47,-1
48,0.5
49,-1
50,-1
51,-1
52,-1
53,-1
54,1.0
55,2.833333333333333
56,0.1428571428571428
57,1
58,-1
59,-1
60,4.0
61,-1
62,-1
63,3.25
64,-1
65,1
66,-1
67,-1
68,0.25
69,4
70,-1
71,0.5
72,0.33333333333333326
73,-1
74,-1
75,-1
76,1.0
77,0.33333333333333326
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,3.166666666666667
85,-1
86,-1
87,0.33333333333333326
88,-1
89,-1
90,1
91,-1
92,3.5
93,2.424242424242424
94,-1
95,2.583333333333333
96,-1
97,2.833333333333333
98,-1
99,-1
100,4
101,-1
102,1
103,0.25
104,3.2
105,-1
106,-1
107,0.5
108,-1
109,-1
110,0.19999999999999996
111,-1
112,1
113,-1
114,-1
115,0.5
116,1
117,-1
118,-1
119,-1
120,-1
121,3.2
122,-1
123,0.5
124,0.16666666666666674
125,0.16666666666666674
126,2.5
127,-1
128,-1
129,3.142857142857143
130,-1
131,-1
132,-1
133,-1
134,-1
135,1
136,-1
137,-1
138,-1
139,-1
140,1.0
141,-1
142,0.19999999999999996
143,0.09090909090909083
144,-1
145,-1
146,-1
147,4.0
148,-1
149,0.19999999999999996
150,1
151,1.0
152,-1
153,1
154,-1
155,-1
156,1
157,0.5
158,1
159,-1
160,3.5
161,1.0
162,-1
163,-1
164,2.75
165,-1
166,1
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,1
174,0.16666666666666674
175,-1
176,0.33333333333333326
177,-1
178,3.5
179,-1
180,-1
181,-1
182,-1
183,-1
184,-1
185,1.0
186,-1
187,0.1428571428571428
188,1.0
189,-1
190,0.5
191,3.2
192,-1
193,1
194,0.19999999999999996
195,-1
196,-1
197,2.3428571428571425
198,-1
199,-1
200,-1
201,1.0
202,-1
203,-1
204,-1
205,-1
206,-1
207,-1
208,0.5
209,-1
210,2.75
211,-1
212,-1
213,1
214,-1
215,-1
216,0.19999999999999996
217,-1
218,-1
219,-1
220,-1
221,-1
222,2.3428571428571425
223,3.0
224,0.19999999999999996
225,3.5
226,2.361111111111111
227,0.33333333333333326
228,2.416666666666667
229,1
230,-1
231,4.0
232,-1
233,-1
234,-1
235,-1
236,2.833333333333333
237,1.0
238,-1
239,-1
240,-1
241,1.0
242,-1
243,-1
244,-1
245,-1
246,-1
247,0.16666666666666674
248,-1
249,-1
250,3.25
251,-1
252,-1
253,-1
254,-1
255,0.33333333333333326
256,-1
257,-1
258,1.0
259,-1
260,-1
261,1.0
262,-1
263,-1
264,-1
265,0.11111111111111116
266,-1
267,-1
268,-1
269,1.0
270,0.5
271,-1
272,-1
273,0.5
274,2.3095238095238093
275,0.5
276,0.33333333333333326
277,-1
278,-1
279,3.142857142857143
280,-1
281,-1
282,1
283,1
284,-1
285,-1
286,-1
287,-1
288,-1
289,-1
290,3.5
291,-1
292,-1
293,-1
294,0.25
295,0.5
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,1.0
303,-1
304,-1
305,4
306,-1
307,-1
308,-1
309,-1
310,-1
311,0.33333333333333326
312,1.0
313,3.166666666666667
314,-1
315,-1
316,0.5
317,0.1428571428571428
318,1
319,-1
320,3.333333333333333
321,-1
322,-1
323,2.291666666666667
324,-1
325,-1
326,0.5
327,1
328,0.11111111111111116
329,-1
330,-1
331,-1
332,-1
333,3.1
334,2.392857142857143
335,-1
336,-1
337,2.583333333333333
338,-1
339,-1
340,-1
341,-1
342,1.0
343,1.0
344,-1
345,-1
346,-1
347,-1
348,0.5
349,-1
350,1
351,-1
352,-1
353,-1
354,-1
355,-1
356,-1
357,-1
358,-1
359,-1
360,-1
361,-1
362,-1
363,-1
364,3.2
365,0.5
366,-1
367,-1
368,-1
369,-1
370,0.5
371,-1
372,0.1428571428571428
373,-1
374,1
375,-1
376,-1
377,-1
378,-1
379,0.09090909090909083
380,1
381,-1
382,-1
383,0.16666666666666674
384,-1
385,-1
386,0.25
387,1
388,1
389,1
390,-1
391,-1
392,-1
393,0.19999999999999996
394,-1
395,0.19999999999999996
396,-1
397,-1
398,3.333333333333333
399,-1
400,-1
401,3.25
402,-1
403,-1
404,-1
405,0.11111111111111116
406,-1
407,-1
408,1
409,-1
410,0.10000000000000009
411,0.33333333333333326
412,-1
413,-1
414,3.5
415,3.333333333333333
416,-1
417,0.09090909090909083
418,1
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,-1
427,-1
428,-1
429,-1
430,-1
431,-1
432,-1
433,-1
434,-1
435,0.25
436,0.07692307692307687
437,0.11111111111111116
438,-1
439,-1
440,-1
441,-1
442,-1
443,-1
444,-1
445,0.06666666666666665
446,-1
447,-1
448,1
449,-1
450,-1
451,0.19999999999999996
452,1.0
453,-1
454,1.0
455,0.25
456,-1
457,4
458,1
459,0.09090909090909083
460,-1
461,1
462,1
463,0.16666666666666674
464,-1
465,-1
466,3.25
467,-1
468,-1
469,-1
470,-1
471,-1
472,1
473,-1
474,-1
475,-1
476,3.333333333333333
477,-1
478,0.25
479,-1
480,-1
481,3.25
482,-1
483,-1
484,0.1428571428571428
485,0.5
486,0.33333333333333326
487,-1
488,-1
489,0.5
490,-1
491,2.583333333333333
492,3.25
493,-1
494,-1
495,-1
496,-1
497,1
498,-1
499,-1
500,-1
501,-1
502,-1
503,1.0
504,4
505,4.0
506,-1
507,3.5
508,-1
509,3.333333333333333
510,-1
511,-1
512,-1
513,-1
514,-1
515,-1
516,0.19999999999999996
517,1.0
518,-1
519,2.3666666666666667
520,-1
521,0.1428571428571428
522,-1
523,-1
524,-1
525,-1
526,-1
527,-1
528,1.0
529,2.340909090909091
530,4.0
531,0.5
532,0.33333333333333326
533,-1
534,-1
535,-1
536,-1
537,2.5
538,0.33333333333333326
539,-1
540,3.25
541,-1
542,0.19999999999999996
543,0.5
544,-1
545,1
546,-1
547,1
548,-1
549,0.33333333333333326
550,-1
551,1.0
552,-1
553,3.125
554,0.16666666666666674
555,-1
556,-1
557,-1
558,-1
559,-1
560,0.5
561,-1
562,0.5
563,-1
564,0.19999999999999996
565,-1
566,-1
567,0.5
568,-1
569,3.25
570,-1
571,1.0
572,-1
573,3.333333333333333
574,-1
575,3.142857142857143
576,-1
577,0.33333333333333326
578,-1
579,-1
580,2.75
581,-1
582,-1
583,0.25
584,1
585,-1
586,1
587,4.0
588,-1
589,-1
590,0.1428571428571428
591,0.16666666666666674
592,-1
593,-1
594,-1
595,-1
596,-1
597,-1
598,-1
599,3.25
600,0.5
601,-1
602,-1
603,3.142857142857143
604,1
605,-1
606,-1
607,-1
608,3.5
609,-1
610,-1
611,1.0
612,0.09090909090909083
613,1
614,3.071428571428571
615,1
616,2.2666666666666666
617,3.5
618,-1
619,-1
620,-1
621,3.333333333333333
622,-1
623,-1
624,-1
625,0.33333333333333326
626,-1
627,-1
628,4
629,0.5
630,-1
631,1.0
632,-1
633,-1
634,-1
635,-1
636,-1
637,1
638,-1
639,0.25
640,-1
641,-1
642,-1
643,-1
644,-1
645,4.0
646,-1
647,4.0
648,-1
649,3.5
650,-1
651,3.25
652,-1
653,-1
654,1.0
655,0.5
656,-1
657,-1
658,-1
659,-1
660,-1
661,-1
662,-1
663,0.19999999999999996
664,-1
665,-1
666,-1
667,-1
668,3.25
669,-1
670,0.16666666666666674
671,-1
672,-1
673,-1
674,4.0
675,1
676,-1
677,-1
678,-1
679,-1
680,-1
681,1
682,2.4166666666666665
683,0.33333333333333326
684,-1
685,3.5
686,0.25
687,0.125
688,3.333333333333333
689,-1
690,-1
691,3.333333333333333
692,-1
693,-1
694,-1
695,-1
696,3.0
697,-1
698,1.0
699,1
700,-1
701,-1
702,-1
703,-1
704,-1
705,-1
706,-1
707,-1
708,0.125
709,-1
710,0.5
711,2.7
712,-1
713,-1
714,-1
715,-1
716,0.33333333333333326
717,-1
718,-1
719,0.19999999999999996
720,0.16666666666666674
