episode,attacker_reward,defender_reward,epsilon,hack_probability
1,-1.0,1,1.0,0
2,1.0,1,0.995,0
3,0.5,1,0.990025,0
4,3.2,-2,0.985074875,0
5,-1.0,1,0.9801495006250001,0
6,-1.0,1,0.9752487531218751,0
7,0.5,1,0.9703725093562657,0
8,-1.0,1,0.9655206468094844,0
9,-1.0,1,0.960693043575437,0
10,-1.0,1,0.9558895783575597,0
11,-1.0,1,0.9511101304657719,0
12,0.33333333333333326,1,0.946354579813443,0
13,3.083333333333333,-2,0.9416228069143757,0
14,-1.0,1,0.9369146928798039,0
15,-1.0,1,0.9322301194154049,0
16,1.0,1,0.9275689688183278,0
17,-1.0,1,0.9229311239742362,0
18,-1.0,1,0.918316468354365,0
19,3.0,-2,0.9137248860125932,0
20,-1.0,1,0.9091562615825302,0
21,3.0,-2,0.9046104802746175,0
22,-1.0,1,0.9000874278732445,0
23,-1.0,1,0.8955869907338783,0
24,-1.0,1,0.8911090557802088,0
25,-1.0,1,0.8866535105013078,0
26,0.25,1,0.8822202429488013,0
27,1.0,1,0.8778091417340573,0
28,3.333333333333333,-2,0.8734200960253871,0
29,-1.0,1,0.8690529955452602,0
30,-1.0,1,0.8647077305675338,0
31,0.33333333333333326,1,0.8603841919146962,0
32,1.0,1,0.8560822709551227,0
33,4.0,-2,0.851801859600347,0
34,-1.0,1,0.8475428503023453,0
35,-1.0,1,0.8433051360508336,0
36,-1.0,1,0.8390886103705794,0
37,-1.0,1,0.8348931673187264,0
38,-1.0,1,0.8307187014821328,0
39,-1.0,1,0.8265651079747222,0
40,3.333333333333333,-2,0.8224322824348486,0
41,-1.0,1,0.8183201210226743,0
42,-1.0,1,0.8142285204175609,0
43,-1.0,1,0.810157377815473,0
44,1.0,1,0.8061065909263957,0
45,-1.0,1,0.8020760579717637,0
46,-1.0,1,0.798065677681905,0
47,-1.0,1,0.7940753492934954,0
48,-1.0,1,0.7901049725470279,0
49,-1.0,1,0.7861544476842928,0
50,-1.0,1,0.7822236754458713,0
51,-1.0,1,0.778312557068642,0
52,1.0,1,0.7744209942832988,0
53,-1.0,1,0.7705488893118823,0
54,-1.0,1,0.7666961448653229,0
55,-1.0,1,0.7628626641409962,0
56,0.33333333333333326,1,0.7590483508202912,0
57,3.2,-2,0.7552531090661897,0
58,-1.0,1,0.7514768435208588,0
59,-1.0,1,0.7477194593032545,0
60,3.5,-2,0.7439808620067382,0
61,-1.0,1,0.7402609576967045,0
62,-1.0,1,0.736559652908221,0
63,-1.0,1,0.7328768546436799,0
64,-1.0,1,0.7292124703704616,0
65,-1.0,1,0.7255664080186093,0
66,-1.0,1,0.7219385759785162,0
67,-1.0,1,0.7183288830986236,0
68,-1.0,1,0.7147372386831305,0
69,2.6666666666666665,-2,0.7111635524897149,0
70,-1.0,1,0.7076077347272662,0
71,-1.0,1,0.7040696960536299,0
72,-1.0,1,0.7005493475733617,0
73,-1.0,1,0.697046600835495,0
74,-1.0,1,0.6935613678313175,0
75,1.0,1,0.6900935609921609,0
76,2.2666666666666666,-2,0.6866430931872001,0
77,-1.0,1,0.6832098777212641,0
78,-1.0,1,0.6797938283326578,0
79,-1.0,1,0.6763948591909945,0
80,0.16666666666666674,1,0.6730128848950395,0
81,-1.0,1,0.6696478204705644,0
82,-1.0,1,0.6662995813682115,0
83,-1.0,1,0.6629680834613705,0
84,1.0,1,0.6596532430440636,0
85,-1.0,1,0.6563549768288433,0
86,0.1428571428571428,1,0.653073201944699,0
87,-1.0,1,0.6498078359349755,0
88,-1.0,1,0.6465587967553006,0
89,-1.0,1,0.6433260027715241,0
90,-1.0,1,0.6401093727576664,0
91,-1.0,1,0.6369088258938781,0
92,-1.0,1,0.6337242817644086,0
93,4.0,-2,0.6305556603555866,0
94,2.7,-2,0.6274028820538087,0
95,-1.0,1,0.6242658676435396,0
96,-1.0,1,0.6211445383053219,0
97,-1.0,1,0.6180388156137953,0
98,1.0,1,0.6149486215357263,0
99,3.333333333333333,-2,0.6118738784280476,0
100,3.2,-2,0.6088145090359074,0
101,0.5,1,0.6057704364907278,0
102,-1.0,1,0.6027415843082742,0
103,-1.0,1,0.5997278763867329,0
104,0.25,1,0.5967292370047992,0
105,-1.0,1,0.5937455908197752,0
106,-1.0,1,0.5907768628656763,0
107,-1.0,1,0.5878229785513479,0
108,-1.0,1,0.5848838636585911,0
109,-1.0,1,0.5819594443402982,0
110,-1.0,1,0.5790496471185967,0
111,1.0,1,0.5761543988830038,0
112,0.33333333333333326,1,0.5732736268885887,0
113,-1.0,1,0.5704072587541458,0
114,3.25,-2,0.567555222460375,0
115,-1.0,1,0.5647174463480732,0
116,-1.0,1,0.5618938591163328,0
117,1.0,1,0.5590843898207511,0
118,0.19999999999999996,1,0.5562889678716474,0
119,-1.0,1,0.5535075230322891,0
120,0.5,1,0.5507399854171277,0
121,-1.0,1,0.547986285490042,0
122,-1.0,1,0.5452463540625918,0
123,3.5,-2,0.5425201222922789,0
124,4.0,-2,0.5398075216808175,0
125,-1.0,1,0.5371084840724134,0
126,-1.0,1,0.5344229416520513,0
127,-1.0,1,0.531750826943791,0
128,-1.0,1,0.5290920728090721,0
129,-1.0,1,0.5264466124450268,0
130,1.0,1,0.5238143793828016,0
131,-1.0,1,0.5211953074858876,0
132,-1.0,1,0.5185893309484582,0
133,0.5,1,0.5159963842937159,0
134,0.5,1,0.5134164023722473,0
135,-1.0,1,0.510849320360386,0
136,-1.0,1,0.5082950737585841,0
137,3.1,-2,0.5057535983897912,0
138,-1.0,1,0.5032248303978422,0
139,1.0,1,0.500708706245853,0
140,0.5,1,0.4982051627146237,0
141,2.3666666666666667,-2,0.49571413690105054,0
142,4.0,-2,0.4932355662165453,0
143,-1.0,1,0.4907693883854626,0
144,-1.0,1,0.4883155414435353,0
145,-1.0,1,0.4858739637363176,0
146,1.0,1,0.483444593917636,0
147,-1.0,1,0.4810273709480478,0
148,0.5,1,0.47862223409330756,0
149,-1.0,1,0.47622912292284103,0
150,-1.0,1,0.4738479773082268,0
151,-1.0,1,0.47147873742168567,0
152,-1.0,1,0.46912134373457726,0
153,-1.0,1,0.46677573701590436,0
154,-1.0,1,0.46444185833082485,0
155,1.0,1,0.46211964903917074,0
156,3.5,-2,0.4598090507939749,0
157,-1.0,1,0.457510005540005,0
158,-1.0,1,0.45522245551230495,0
159,0.33333333333333326,1,0.4529463432347434,0
160,1.0,1,0.4506816115185697,0
161,1.0,1,0.4484282034609769,0
162,-1.0,1,0.446186062443672,0
163,-1.0,1,0.4439551321314536,0
164,0.19999999999999996,1,0.4417353564707963,0
165,-1.0,1,0.43952667968844233,0
166,-1.0,1,0.43732904629000013,0
167,-1.0,1,0.4351424010585501,0
168,1.0,1,0.43296668905325736,0
169,0.19999999999999996,1,0.43080185560799106,0
170,1.0,1,0.4286478463299511,0
171,-1.0,1,0.42650460709830135,0
172,2.625,-2,0.42437208406280985,0
173,3.142857142857143,-2,0.4222502236424958,0
174,1.0,1,0.42013897252428334,0
175,-1.0,1,0.4180382776616619,0
176,4.0,-2,0.4159480862733536,0
177,-1.0,1,0.41386834584198684,0
178,-1.0,1,0.4117990041127769,0
179,0.16666666666666674,1,0.40974000909221303,0
180,-1.0,1,0.40769130904675194,0
181,4.0,-2,0.40565285250151817,0
182,-1.0,1,0.4036245882390106,0
183,2.833333333333333,-2,0.4016064652978155,0
184,-1.0,1,0.3995984329713264,0
185,-1.0,1,0.3976004408064698,0
186,-1.0,1,0.39561243860243744,0
187,-1.0,1,0.3936343764094253,0
188,-1.0,1,0.39166620452737816,0
189,-1.0,1,0.3897078735047413,0
190,0.33333333333333326,1,0.3877593341372176,0
191,4.0,-2,0.3858205374665315,0
192,0.5,1,0.38389143477919885,0
193,-1.0,1,0.3819719776053028,0
194,1.0,1,0.3800621177172763,0
