episode,attacker_reward,defender_reward,epsilon,hack_probability,episode_length
1,2.833333333333333,-2,1.0,0.0,7
2,-1.0,1,0.995,0.0,3
3,-1.0,1,0.990025,0.0,2
4,-1.0,1,0.985074875,0.0,4
5,-1.0,1,0.9801495006250001,0.0,2
6,-1.0,1,0.9752487531218751,0.0,1
7,-1.0,1,0.9703725093562657,0.0,3
8,-1.0,1,0.9655206468094844,0.0,10
9,0.125,1,0.960693043575437,0.0,16
10,0.16666666666666674,1,0.9558895783575597,0.0,10
11,-1.0,1,0.9511101304657719,0.0,8
12,-1.0,1,0.946354579813443,0.0,8
13,-1.0,1,0.9416228069143757,0.0,7
14,0.16666666666666674,1,0.9369146928798039,0.0,8
15,0.25,1,0.9322301194154049,0.0,6
16,4.0,-2,0.9275689688183278,0.0,3
17,-1.0,1,0.9229311239742362,0.0,1
18,-1.0,1,0.918316468354365,0.0,10
19,-1.0,1,0.9137248860125932,0.0,2
20,-1.0,1,0.9091562615825302,0.0,3
21,3.111111111111111,-2,0.9046104802746175,0.0,11
22,-1.0,1,0.9000874278732445,0.0,6
23,-1.0,1,0.8955869907338783,0.0,3
24,-1.0,1,0.8911090557802088,0.0,1
25,-1.0,1,0.8866535105013078,0.0,1
26,-1.0,1,0.8822202429488013,0.0,1
27,1.0,1,0.8778091417340573,0.0,7
28,-1.0,1,0.8734200960253871,0.0,1
29,-1.0,1,0.8690529955452602,0.0,1
30,-1.0,1,0.8647077305675338,0.0,1
31,-1.0,1,0.8603841919146962,0.0,9
32,2.458333333333333,-2,0.8560822709551227,0.0,13
33,-1.0,1,0.851801859600347,0.0,2
34,-1.0,1,0.8475428503023453,0.0,2
35,-1.0,1,0.8433051360508336,0.0,6
36,-1.0,1,0.8390886103705794,0.0,2
37,-1.0,1,0.8348931673187264,0.0,6
38,2.625,-2,0.8307187014821328,0.0,12
39,4.0,-2,0.8265651079747222,0.0,3
40,2.392857142857143,-2,0.8224322824348486,0.0,13
41,-1.0,1,0.8183201210226743,0.0,3
42,-1.0,1,0.8142285204175609,0.0,1
43,-1.0,1,0.810157377815473,0.0,12
44,0.25,1,0.8061065909263957,0.0,8
45,0.16666666666666674,1,0.8020760579717637,0.0,9
46,-1.0,1,0.798065677681905,0.0,1
47,3.166666666666667,-2,0.7940753492934954,0.0,8
48,-1.0,1,0.7901049725470279,0.0,3
49,0.33333333333333326,1,0.7861544476842928,0.0,11
50,-1.0,1,0.7822236754458713,0.0,1
51,0.19999999999999996,1,0.778312557068642,0.0,11
52,-1.0,1,0.7744209942832988,0.0,3
53,-1.0,1,0.7705488893118823,0.0,1
54,2.583333333333333,-2,0.7666961448653229,0.0,9
55,-1.0,1,0.7628626641409962,0.0,1
56,1.0,1,0.7590483508202912,0.0,2
57,0.125,1,0.7552531090661897,0.0,12
58,-1.0,1,0.7514768435208588,0.0,1
59,3.5,-2,0.7477194593032545,0.0,4
60,0.19999999999999996,1,0.7439808620067382,0.0,9
61,-1.0,1,0.7402609576967045,0.0,4
62,-1.0,1,0.736559652908221,0.0,11
63,-1.0,1,0.7328768546436799,0.0,3
64,-1.0,1,0.7292124703704616,0.0,2
65,-1.0,1,0.7255664080186093,0.0,3
66,3.25,-2,0.7219385759785162,0.0,6
67,-1.0,1,0.7183288830986236,0.0,7
68,-1.0,1,0.7147372386831305,0.0,3
