episode,attacker_reward,defender_reward,epsilon,hack_probability,episode_length
1,-1.0,1.0,1.0,0.0,1
2,1.0,1.0,0.995,0.0,3
3,0.5,1.0,0.990025,0.0,12
4,-1.0,1.0,0.985074875,0.0,1
5,-1.0,1.0,0.9801495006250001,0.0,1
6,0.33333333333333326,1.0,0.9752487531218751,0.0,17
7,1.0,1.0,0.9703725093562657,0.0,3
8,0.25,1.0,0.9655206468094844,0.0,6
9,0.1428571428571428,1.0,0.960693043575437,0.0,13
10,-1.0,1.0,0.9558895783575597,0.0,2
11,3.25,-2.0,0.9511101304657719,0.0,6
12,-1.0,1.0,0.946354579813443,0.0,4
13,0.25,1.0,0.9416228069143757,0.0,9
14,3.5,-2.0,0.9369146928798039,0.0,5
15,1.0,1.0,0.9322301194154049,0.0,2
16,2.3428571428571425,-2.0,0.9275689688183278,0.0,14
17,-1.0,1.0,0.9229311239742362,0.0,1
18,-1.0,1.0,0.918316468354365,0.0,2
19,-1.0,1.0,0.9137248860125932,0.0,3
20,-1.0,1.0,0.9091562615825302,0.0,1
21,1.0,1.0,0.9046104802746175,0.0,4
22,-1.0,1.0,0.9000874278732445,0.0,5
23,-1.0,1.0,0.8955869907338783,0.0,5
24,0.33333333333333326,1.0,0.8911090557802088,0.0,9
25,3.111111111111111,-2.0,0.8866535105013078,0.0,11
26,-1.0,1.0,0.8822202429488013,0.0,3
27,0.5,1.0,0.8778091417340573,0.0,6
28,1.0,1.0,0.8734200960253871,0.0,6
29,4.0,-2.0,0.8690529955452602,0.0,3
30,0.5,1.0,0.8647077305675338,0.0,7
31,0.5,1.0,0.8603841919146962,0.0,7
32,1.0,1.0,0.8560822709551227,0.0,6
33,-1.0,1.0,0.851801859600347,0.0,6
34,1.0,1.0,0.8475428503023453,0.0,6
35,-1.0,1.0,0.8433051360508336,0.0,4
36,-1.0,1.0,0.8390886103705794,0.0,1
37,-1.0,1.0,0.8348931673187264,0.0,1
38,0.1428571428571428,1.0,0.8307187014821328,0.0,11
39,-1.0,1.0,0.8265651079747222,0.0,1
40,-1.0,1.0,0.8224322824348486,0.0,6
41,-1.0,1.0,0.8183201210226743,0.0,3
42,-1.0,1.0,0.8142285204175609,0.0,3
43,-1.0,1.0,0.810157377815473,0.0,3
44,-1.0,1.0,0.8061065909263957,0.0,4
45,-1.0,1.0,0.8020760579717637,0.0,5
46,3.5,-2.0,0.798065677681905,0.0,5
47,0.11111111111111116,1.0,0.7940753492934954,0.0,11
48,1.0,1.0,0.7901049725470279,0.0,2
49,-1.0,1.0,0.7861544476842928,0.0,2
50,-1.0,1.0,0.7822236754458713,0.0,4
51,-1.0,1.0,0.778312557068642,0.0,3
52,1.0,1.0,0.7744209942832988,0.0,9
53,-1.0,1.0,0.7705488893118823,0.0,1
54,-1.0,1.0,0.7666961448653229,0.0,1
55,-1.0,1.0,0.7628626641409962,0.0,6
56,-1.0,1.0,0.7590483508202912,0.0,6
57,-1.0,1.0,0.7552531090661897,0.0,7
58,-1.0,1.0,0.7514768435208588,0.0,1
59,-1.0,1.0,0.7477194593032545,0.0,1
60,0.33333333333333326,1.0,0.7439808620067382,0.0,5
61,0.25,1.0,0.7402609576967045,0.0,6
62,-1.0,1.0,0.736559652908221,0.0,1
63,-1.0,1.0,0.7328768546436799,0.0,2
64,-1.0,1.0,0.7292124703704616,0.0,2
65,1.0,1.0,0.7255664080186093,0.0,3
66,2.833333333333333,-2.0,0.7219385759785162,0.0,7
67,-1.0,1.0,0.7183288830986236,0.0,2
68,0.33333333333333326,1.0,0.7147372386831305,0.0,5
69,-1.0,1.0,0.7111635524897149,0.0,1
70,-1.0,1.0,0.7076077347272662,0.0,5
71,0.33333333333333326,1.0,0.7040696960536299,0.0,10
72,-1.0,1.0,0.7005493475733617,0.0,1
73,-1.0,1.0,0.697046600835495,0.0,8
74,-1.0,1.0,0.6935613678313175,0.0,6
75,-1.0,1.0,0.6900935609921609,0.0,1
76,0.5,1.0,0.6866430931872001,0.0,4
77,-1.0,1.0,0.6832098777212641,0.0,2
78,-1.0,1.0,0.6797938283326578,0.0,1
79,1.0,1.0,0.6763948591909945,0.0,3
80,-1.0,1.0,0.6730128848950395,0.0,4
81,4.0,-2.0,0.6696478204705644,0.0,2
82,-1.0,1.0,0.6662995813682115,0.0,1
83,0.19999999999999996,1.0,0.6629680834613705,0.0,7
84,1.0,1.0,0.6596532430440636,0.0,3
85,-1.0,1.0,0.6563549768288433,0.0,3
86,-1.0,1.0,0.653073201944699,0.0,4
87,-1.0,1.0,0.6498078359349755,0.0,2
88,-1.0,1.0,0.6465587967553006,0.0,4
89,-1.0,1.0,0.6433260027715241,0.0,2
90,1.0,1.0,0.6401093727576664,0.0,3
91,-1.0,1.0,0.6369088258938781,0.0,3
92,-1.0,1.0,0.6337242817644086,0.0,3
93,0.10000000000000009,1.0,0.6305556603555866,0.0,12
94,3.25,-2.0,0.6274028820538087,0.0,7
95,-1.0,1.0,0.6242658676435396,0.0,1
96,3.25,-2.0,0.6211445383053219,0.0,6
97,-1.0,1.0,0.6180388156137953,0.0,3
98,1.0,1.0,0.6149486215357263,0.0,4
99,0.10000000000000009,1.0,0.6118738784280476,0.0,12
100,4.0,-2.0,0.6088145090359074,0.0,3
101,-1.0,1.0,0.6057704364907278,0.0,4
102,3.2,-2.0,0.6027415843082742,0.0,7
103,-1.0,1.0,0.5997278763867329,0.0,1
104,-1.0,1.0,0.5967292370047992,0.0,2
105,-1.0,1.0,0.5937455908197752,0.0,4
106,-1.0,1.0,0.5907768628656763,0.0,2
107,1.0,1.0,0.5878229785513479,0.0,7
108,-1.0,1.0,0.5848838636585911,0.0,4
109,-1.0,1.0,0.5819594443402982,0.0,1
110,-1.0,1.0,0.5790496471185967,0.0,1
111,-1.0,1.0,0.5761543988830038,0.0,2
112,1.0,1.0,0.5732736268885887,0.0,6
113,-1.0,1.0,0.5704072587541458,0.0,2
114,-1.0,1.0,0.567555222460375,0.0,1
115,0.19999999999999996,1.0,0.5647174463480732,0.0,7
116,-1.0,1.0,0.5618938591163328,0.0,1
117,3.125,-2.0,0.5590843898207511,0.0,10
118,-1.0,1.0,0.5562889678716474,0.0,6
119,1.0,1.0,0.5535075230322891,0.0,5
120,-1.0,1.0,0.5507399854171277,0.0,1
121,-1.0,1.0,0.547986285490042,0.0,9
122,-1.0,1.0,0.5452463540625918,0.0,2
123,1.0,1.0,0.5425201222922789,0.0,5
124,-1.0,1.0,0.5398075216808175,0.0,4
125,3.2,-2.0,0.5371084840724134,0.0,8
126,2.45,-2.0,0.5344229416520513,0.0,11
127,-1.0,1.0,0.531750826943791,0.0,1
128,-1.0,1.0,0.5290920728090721,0.0,1
129,-1.0,1.0,0.5264466124450268,0.0,3
130,0.5,1.0,0.5238143793828016,0.0,9
131,-1.0,1.0,0.5211953074858876,0.0,2
132,-1.0,1.0,0.5185893309484582,0.0,1
133,-1.0,1.0,0.5159963842937159,0.0,3
134,3.5,-2.0,0.5134164023722473,0.0,4
135,0.19999999999999996,1.0,0.510849320360386,0.0,18
136,-1.0,1.0,0.5082950737585841,0.0,1
137,-1.0,1.0,0.5057535983897912,0.0,1
138,-1.0,1.0,0.5032248303978422,0.0,5
139,0.19999999999999996,1.0,0.500708706245853,0.0,8
140,3.166666666666667,-2.0,0.4982051627146237,0.0,9
141,-1.0,1.0,0.49571413690105054,0.0,2
142,-1.0,1.0,0.4932355662165453,0.0,1
143,-1.0,1.0,0.4907693883854626,0.0,5
144,3.333333333333333,-2.0,0.4883155414435353,0.0,5
145,-1.0,1.0,0.4858739637363176,0.0,1
146,-1.0,1.0,0.483444593917636,0.0,2
