avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,0.0005,0.0
-0.17369505494505497,0.67,4.32,0.9900493386913721,0.11,-16.369505494505496,66,0.0,0.0,0.0005,0.10891089108910891
0.06849278499278495,0.58,4.81,0.980197693043223,0.14,-9.520226995227004,124,0.0,0.0,0.0005,0.12437810945273632
0.10039682539682535,0.46,4.45,0.970444077784251,0.18,0.5194555444555311,170,0.0,0.0,0.0005,0.14285714285714285
-0.3471666666666666,0.76,3.94,0.9607875174472562,0.08,-34.19721112221113,246,0.0,0.0,0.0005,0.12718204488778054
-0.3324444444444445,0.76,4.44,0.9512270462715811,0.08,-67.44165556665556,322,0.0,0.0,0.0005,0.11776447105788423
-0.27832142857142855,0.79,4.62,0.9417617081065252,0.07,-95.27379842379838,401,0.0,0.0,0.0005,0.10981697171381032
-0.4261474358974359,0.82,4.37,0.9323905563157222,0.06,-137.88854201354198,483,0.0,0.0,0.0005,0.10271041369472182
-0.3528888888888889,0.73,4.46,0.9231126536824614,0.09,-173.17743090243087,556,0.0,0.0,0.0005,0.10112359550561797
-0.2051441197691198,0.64,4.66,0.9139270723159584,0.12,-193.69184287934283,620,0.0,0.0,0.0005,0.10321864594894561
-0.20123870573870573,0.64,5.19,0.9048328935585562,0.12,-213.81571345321345,684,0.0,0.0,0.0005,0.1048951048951049
-0.23236435786435788,0.73,4.87,0.8958292078938495,0.09,-236.05214923964922,756,0.0,0.0,0.0005,0.10354223433242507
-0.4213409090909091,0.79,4.39,0.886915114855721,0.07,-278.1862401487402,835,0.0,0.0,0.0005,0.10074937552039967
-0.4667625152625153,0.79,4.81,0.8780897229382887,0.07,-324.8624916749917,914,0.0,0.0,0.0005,0.0983858570330515
-0.11978499278499281,0.67,5.05,0.8693521495067424,0.11,-336.84099095349103,981,0.0,0.0,0.0005,0.099214846538187
-0.1275234487734488,0.52,4.88,0.8607015207090729,0.16,-349.59333583083594,1033,0.0,0.0,0.0005,0.10326449033977349
-0.49625793650793654,0.85,4.28,0.8521369713886755,0.05,-399.2191294816295,1118,0.0,0.0,0.0005,0.09993753903810118
-0.5696689005439005,0.91,4.75,0.843657644997827,0.03,-456.1860195360196,1209,0.0,0.0,0.0005,0.09582598471487361
-0.17035775335775338,0.64,4.6,0.8352626935120188,0.12,-473.221794871795,1273,0.0,0.0,0.0005,0.0971682398667407
-0.4666623376623377,0.73,3.91,0.8269512773451482,0.09,-519.8880286380288,1346,0.0,0.0,0.0005,0.0967911625460284
-0.5673974358974359,0.85,3.92,0.8187225652655491,0.05,-576.6277722277723,1431,0.0,0.0,0.0005,0.0944527736131934
-0.5380317460317461,0.88,4.89,0.8105757343128605,0.04,-629.4309468309469,1518,0.0,0.0,0.0005,0.09186101856258924
-0.29841233766233766,0.79,4.73,0.8025099697157205,0.07,-659.2721805971806,1597,0.0,0.0,0.0005,0.09086778736937756
-0.14517460317460315,0.67,4.55,0.7945244648102819,0.11,-673.7896409146412,1664,0.0,0.0,0.0005,0.09169926119078661
-0.3563051948051949,0.73,4.54,0.7866184209595359,0.09,-709.4201603951605,1737,0.0,0.0,0.0005,0.09162848812994585
-0.3778696581196581,0.79,3.93,0.7787910474734399,0.07,-752.2071262071261,1819,0.0,0.0,0.0005,0.09076369452219113
-0.3947738095238095,0.73,4.88,0.7710415615298397,0.09,-786.6845071595069,1889,0.0,0.0,0.0005,0.09073433294886582
-0.23638553113553115,0.67,5.45,0.7633691880961806,0.11,-810.3230602730598,1956,0.0,0.0,0.0005,0.0914476119955572
-0.5205631313131314,0.85,4.2,0.7557731598519929,0.05,-862.3793734043728,2041,0.0,0.0,0.0005,0.08996786861835059
-0.4527496392496393,0.7,4.64,0.748252717112154,0.1,-907.6543373293368,2111,0.0,0.0,0.0005,0.09031368493622889
-0.5239761904761905,0.79,3.79,0.74080710775091,0.07,-960.0519563769558,2190,0.0,0.0,0.0005,0.08963678773742086
-0.13586075036075038,0.52,5.06,0.7334355871266565,0.16,-972.6380314130307,2241,0.0,0.0,0.0005,0.09190583682683005
-0.34947619047619055,0.7,4.37,0.7261374180074647,0.1,-1007.5856504606497,2311,0.0,0.0,0.0005,0.09215870040612309
-0.43283791208791217,0.76,4.81,0.7189118704973512,0.08,-1050.8694416694407,2387,0.0,0.0,0.0005,0.09179036655558921
-0.23176251526251526,0.64,4.92,0.7117582219632792,0.12,-1074.0456931956924,2451,0.0,0.0,0.0005,0.09261981770067627
-0.3033607503607504,0.67,4.69,0.7046757569628911,0.11,-1104.3817682317676,2518,0.0,0.0,0.0005,0.09311625249928591
-0.198765873015873,0.64,4.96,0.697663767172952,0.12,-1129.2583555333556,2585,0.0,0.0,0.0005,0.09386281588447654
-0.18815735653235652,0.67,5.4,0.6907215513185129,0.11,-1143.0740911865912,2649,0.0,0.0,0.0005,0.09429883815185085
-0.38900518925518923,0.76,4.5,0.6838484151027725,0.08,-1183.22461011211,2725,0.0,0.0,0.0005,0.09392265193370165
-0.26199231324231326,0.64,5.07,0.6770436711376424,0.12,-1212.2849525474528,2792,0.0,0.0,0.0005,0.09459113047936427
