target_node,attack_outcome
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
1,False,False
1,True,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,True,False
0,False,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,True,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,True,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,True,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
0,False,False
0,True,False
1,False,False
1,True,False
0,False,False
0,False,False
0,False,False
0,False,False
0,True,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,True,False
0,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
1,False,False
