avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-1.0,1.0,2.0,0.95,0.0,0,0,0.0,0.0,0.001,0.0
-0.13337314074814074,0.61,4.77,0.8595740503483104,0.13,-25.67462814962815,121,0.0,0.0,0.001,0.12935323383084577
-0.29810714285714285,0.67,3.705,0.7777553137181038,0.11,-85.2960567210567,255,0.0,0.0,0.001,0.11970074812967581
-0.036051587301587314,0.58,3.965,0.7037245107290435,0.14,-92.5063741813742,371,0.0,0.0,0.001,0.1264559068219634
-0.2309725274725275,0.67,3.46,0.6367403452807859,0.11,-137.70087967587972,504,0.0,0.0,0.001,0.12234706616729088
-0.3402857142857143,0.715,3.57,0.5761320816980908,0.095,-205.75802253302254,647,0.0,0.0,0.001,0.11688311688311688
-0.20070039682539684,0.64,3.705,0.5212928284219274,0.12,-245.89810189810188,775,0.0,0.0,0.001,0.11740216486261448
-0.2971607142857143,0.715,3.595,0.47167346099385543,0.095,-305.3302447552449,918,0.0,0.0,0.001,0.11420413990007137
-0.12933531746031748,0.61,3.965,0.42677712348241426,0.13,-330.19730824730857,1039,0.0,0.0,0.001,0.11617738913179262
-0.2973968253968254,0.715,3.585,0.3861542532923997,0.095,-389.67667332667384,1182,0.0,0.0,0.001,0.11382565241532482
-0.22764880952380953,0.64,3.33,0.34939807953871055,0.12,-436.7064352314357,1310,0.0,0.0,0.001,0.11444277861069466
-0.3019540043290043,0.7,3.64,0.31614054990843193,0.1,-497.09723609723676,1450,0.0,0.0,0.001,0.11313039527487506
-0.280202380952381,0.73,3.545,0.2860486452254025,0.09,-550.6377122877128,1595,0.0,0.0,0.001,0.1112036651395252
-0.40557738095238094,0.775,3.025,0.25882104481373275,0.075,-631.7531884781888,1750,0.0,0.0,0.001,0.10841983852364476
-0.3222857142857143,0.73,3.155,0.23418510926939165,0.09,-700.4603313353315,1899,0.0,0.0,0.001,0.10710460549803641
-0.02660299422799425,0.55,3.655,0.21189415042731857,0.15,-706.0309301809301,2009,0.0,0.0,0.001,0.10996334555148284
-0.2781468253968254,0.7,3.205,0.1917249611872887,0.1,-760.6602952602951,2148,0.0,0.0,0.001,0.10934083099031552
