Episode,Reward
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,0.5
8,-1
9,-1
10,-1
11,2.75
12,0.33333333333333326
13,-1
14,-1
15,-1
16,-1
17,-1
18,0.19999999999999996
19,-1
20,0.19999999999999996
21,0.10000000000000009
22,-1
23,-1
24,-1
25,0.5
26,-1
27,0.33333333333333326
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,4
35,-1
36,-1
37,4.0
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,0.5
48,0.16666666666666674
49,-1
50,3.166666666666667
51,3.5
52,-1
53,-1
54,-1
55,0.1428571428571428
56,-1
57,-1
58,-1
59,-1
60,1
61,-1
62,4.0
63,3.25
64,3.25
65,0.25
66,-1
67,-1
68,-1
69,2.583333333333333
70,1.0
71,3.333333333333333
72,0.1428571428571428
73,-1
74,-1
75,1
76,3.25
77,1
78,0.1428571428571428
79,3.333333333333333
80,-1
81,-1
82,0.33333333333333326
83,0.125
84,-1
85,3.111111111111111
86,0.33333333333333326
87,-1
88,0.11111111111111116
89,-1
90,-1
91,-1
92,1.0
93,-1
94,-1
95,1
96,-1
97,-1
98,-1
99,-1
100,-1
101,0.5
102,-1
103,0.5
104,-1
105,-1
106,2.21978021978022
107,-1
108,0.5
109,-1
110,0.09090909090909083
111,-1
112,-1
113,-1
114,-1
115,-1
116,0.5
117,-1
118,-1
119,4.0
120,0.10000000000000009
121,-1
122,0.19999999999999996
123,-1
124,0.16666666666666674
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,3.5
133,1.0
134,-1
135,-1
136,0.33333333333333326
137,3.5
138,0.33333333333333326
139,-1
140,0.125
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,3.25
151,0.1428571428571428
152,1
153,1.0
154,-1
155,1
156,-1
157,1
158,0.5
159,-1
160,-1
161,0.5
162,-1
163,1
164,-1
165,-1
166,1
167,-1
168,-1
169,0.125
170,4.0
171,1
172,2.4761904761904763
173,0.5
174,-1
175,-1
176,1
177,-1
178,3.333333333333333
179,-1
180,-1
181,0.25
182,1
183,-1
184,1.0
185,-1
186,1
187,-1
188,-1
189,-1
190,-1
191,-1
192,1
193,1
194,-1
195,-1
196,-1
197,-1
198,-1
199,1
200,-1
201,1.0
202,-1
203,-1
204,3.25
205,-1
206,1
207,-1
208,3.166666666666667
209,0.5
210,-1
211,0.09090909090909083
212,1
213,2.2777777777777777
214,-1
215,-1
216,-1
217,-1
218,-1
219,0.5
220,-1
221,0.5
222,-1
223,-1
224,-1
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,1
233,-1
234,-1
235,1.0
236,2.6666666666666665
237,-1
238,0.125
239,-1
240,-1
241,-1
242,-1
243,0.125
244,3.333333333333333
245,3.333333333333333
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,0.5
254,0.125
255,0.33333333333333326
256,2.325
257,0.19999999999999996
258,-1
259,-1
260,-1
261,0.33333333333333326
262,-1
263,-1
264,-1
265,0.5
266,0.33333333333333326
267,-1
268,0.5
269,-1
270,-1
271,-1
272,3.5
273,-1
274,-1
275,-1
276,1.0
277,-1
278,-1
279,-1
280,-1
281,-1
282,-1
283,4
284,-1
285,-1
286,-1
287,1
288,-1
289,-1
290,-1
291,0.5
292,-1
293,-1
294,0.5
295,0.25
296,0.25
297,0.25
298,2.833333333333333
299,1.0
300,-1
301,-1
302,-1
303,-1
304,-1
305,-1
306,-1
307,1
308,1.0
309,-1
310,-1
311,-1
312,-1
313,-1
314,-1
315,0.19999999999999996
316,3.25
317,-1
318,-1
319,-1
320,3.333333333333333
321,-1
322,3.2
323,1
324,-1
325,-1
326,-1
327,0.5
328,-1
329,2.75
330,-1
331,3.25
332,0.5
333,-1
334,3.166666666666667
335,1
336,-1
337,-1
338,3.333333333333333
339,3.333333333333333
340,2.340909090909091
341,1
342,-1
343,-1
344,-1
345,-1
346,1.0
347,-1
348,-1
349,0.1428571428571428
350,-1
351,1.0
352,1
353,-1
354,-1
355,-1
356,-1
357,-1
358,-1
359,0.25
360,-1
361,-1
362,0.5
363,3.090909090909091
364,-1
365,-1
366,-1
367,-1
368,-1
369,-1
370,1
371,0.33333333333333326
372,4
373,1.0
374,-1
375,4.0
376,1
377,-1
378,4.0
379,-1
380,-1
381,-1
382,-1
383,-1
384,-1
385,-1
386,-1
387,4.0
388,0.11111111111111116
389,3.111111111111111
390,-1
391,3.142857142857143
392,-1
393,1
394,0.16666666666666674
395,3.333333333333333
396,0.125
397,-1
398,-1
399,-1
400,-1
401,-1
402,1
403,-1
404,-1
405,-1
406,2.257575757575758
407,0.25
408,-1
409,-1
410,-1
411,1
412,0.16666666666666674
413,-1
414,-1
415,-1
416,-1
417,0.09090909090909083
418,-1
419,-1
420,-1
421,-1
422,-1
423,1.0
424,0.25
425,-1
426,-1
427,3.5
428,-1
429,1
430,-1
431,-1
432,-1
433,-1
434,-1
435,-1
436,3.5
437,0.25
438,-1
439,1.0
440,0.19999999999999996
441,-1
442,-1
443,-1
444,-1
445,0.19999999999999996
446,0.11111111111111116
447,3.0
448,-1
449,0.1428571428571428
450,4.0
451,-1
452,-1
453,-1
454,-1
455,-1
456,-1
457,-1
458,1
459,-1
460,4.0
461,1
462,-1
463,1.0
464,0.5
465,-1
466,0.19999999999999996
467,0.16666666666666674
468,-1
469,-1
470,1
471,-1
472,0.25
473,1.0
474,-1
475,-1
476,-1
477,-1
478,-1
479,3.333333333333333
480,1
481,0.33333333333333326
482,3.125
483,-1
484,-1
485,1
486,2.611111111111111
487,-1
488,1
489,0.08333333333333326
490,0.125
491,-1
492,4.0
493,1.0
494,1.0
495,0.10000000000000009
496,-1
497,3.333333333333333
498,-1
499,1.0
500,3.5
501,4
502,-1
503,-1
504,-1
505,0.33333333333333326
506,-1
507,-1
508,-1
509,-1
510,-1
511,-1
512,-1
513,0.33333333333333326
514,-1
515,-1
516,2.666666666666667
517,-1
518,-1
519,-1
520,-1
521,0.07692307692307687
522,0.19999999999999996
523,-1
524,1
525,1.0
526,1
527,0.16666666666666674
528,1
529,0.16666666666666674
530,-1
531,0.09090909090909083
532,0.11111111111111116
533,3.5
534,3.5
535,-1
536,-1
537,0.25
538,0.33333333333333326
539,0.11111111111111116
540,-1
541,-1
542,-1
543,-1
544,3.5
545,3.2
546,0.19999999999999996
547,4
548,-1
